NomeGrafo,Vertice,CentralidadeIntermediacao
DI-NEARP-n240-Q16k,1,1846
DI-NEARP-n240-Q16k,2,188
DI-NEARP-n240-Q16k,3,28172
DI-NEARP-n240-Q16k,4,0
DI-NEARP-n240-Q16k,5,0
DI-NEARP-n240-Q16k,6,1878
DI-NEARP-n240-Q16k,7,0
DI-NEARP-n240-Q16k,8,16754
DI-NEARP-n240-Q16k,9,19066
DI-NEARP-n240-Q16k,10,29796
DI-NEARP-n240-Q16k,11,294
DI-NEARP-n240-Q16k,12,8496
DI-NEARP-n240-Q16k,13,448
DI-NEARP-n240-Q16k,14,24306
DI-NEARP-n240-Q16k,15,554
DI-NEARP-n240-Q16k,16,16346
DI-NEARP-n240-Q16k,17,0
DI-NEARP-n240-Q16k,18,1802
DI-NEARP-n240-Q16k,19,5510
DI-NEARP-n240-Q16k,20,960
DI-NEARP-n240-Q16k,21,1670
DI-NEARP-n240-Q16k,22,1518
DI-NEARP-n240-Q16k,23,4880
DI-NEARP-n240-Q16k,24,2986
DI-NEARP-n240-Q16k,25,25708
DI-NEARP-n240-Q16k,26,7484
DI-NEARP-n240-Q16k,27,4108
DI-NEARP-n240-Q16k,28,1122
DI-NEARP-n240-Q16k,29,180
DI-NEARP-n240-Q16k,30,12374
DI-NEARP-n240-Q16k,31,0
DI-NEARP-n240-Q16k,32,840
DI-NEARP-n240-Q16k,33,0
DI-NEARP-n240-Q16k,34,494
DI-NEARP-n240-Q16k,35,7196
DI-NEARP-n240-Q16k,36,4486
DI-NEARP-n240-Q16k,37,0
DI-NEARP-n240-Q16k,38,20778
DI-NEARP-n240-Q16k,39,1392
DI-NEARP-n240-Q16k,40,1380
DI-NEARP-n240-Q16k,41,2994
DI-NEARP-n240-Q16k,42,5618
DI-NEARP-n240-Q16k,43,0
DI-NEARP-n240-Q16k,44,14436
DI-NEARP-n240-Q16k,45,4452
DI-NEARP-n240-Q16k,46,0
DI-NEARP-n240-Q16k,47,5668
DI-NEARP-n240-Q16k,48,3082
DI-NEARP-n240-Q16k,49,10322
DI-NEARP-n240-Q16k,50,7014
DI-NEARP-n240-Q16k,51,12
DI-NEARP-n240-Q16k,52,284
DI-NEARP-n240-Q16k,53,1198
DI-NEARP-n240-Q16k,54,730
DI-NEARP-n240-Q16k,55,6438
DI-NEARP-n240-Q16k,56,0
DI-NEARP-n240-Q16k,57,828
DI-NEARP-n240-Q16k,58,0
DI-NEARP-n240-Q16k,59,5200
DI-NEARP-n240-Q16k,60,10306
DI-NEARP-n240-Q16k,61,7108
DI-NEARP-n240-Q16k,62,0
DI-NEARP-n240-Q16k,63,15756
DI-NEARP-n240-Q16k,64,9078
DI-NEARP-n240-Q16k,65,8
DI-NEARP-n240-Q16k,66,98
DI-NEARP-n240-Q16k,67,7188
DI-NEARP-n240-Q16k,68,2914
DI-NEARP-n240-Q16k,69,0
DI-NEARP-n240-Q16k,70,4818
DI-NEARP-n240-Q16k,71,5720
DI-NEARP-n240-Q16k,72,6170
DI-NEARP-n240-Q16k,73,0
DI-NEARP-n240-Q16k,74,3404
DI-NEARP-n240-Q16k,75,5260
DI-NEARP-n240-Q16k,76,1416
DI-NEARP-n240-Q16k,77,41568
DI-NEARP-n240-Q16k,78,4122
DI-NEARP-n240-Q16k,79,0
DI-NEARP-n240-Q16k,80,0
DI-NEARP-n240-Q16k,81,0
DI-NEARP-n240-Q16k,82,0
DI-NEARP-n240-Q16k,83,0
DI-NEARP-n240-Q16k,84,0
DI-NEARP-n240-Q16k,85,30056
DI-NEARP-n240-Q16k,86,2568
DI-NEARP-n240-Q16k,87,0
DI-NEARP-n240-Q16k,88,3952
DI-NEARP-n240-Q16k,89,464
DI-NEARP-n240-Q16k,90,0
DI-NEARP-n240-Q16k,91,0
DI-NEARP-n240-Q16k,92,0
DI-NEARP-n240-Q16k,93,438
DI-NEARP-n240-Q16k,94,0
DI-NEARP-n240-Q16k,95,6558
DI-NEARP-n240-Q16k,96,608
